player_name,playerid,fantasy_position,games,IP,H,ER,BB,K,W,L,SV,HD,fantasy_pts,avg_pts_per_game,ERA,WHIP
Grayson Rodriguez,24492,SP,6,23.8,32,23,15,24,2,2,0,0,2.400000000000004,0.4,8.7,1.975
Joey Estes,26257,SP,1,4.1,5,4,1,4,0,0,0,0,2.299999999999999,2.3,8.78,1.463
Carson Palmquist,31612,SP,3,5.1,8,5,1,7,0,1,0,0,1.3000000000000007,0.43,8.82,1.765
Jordan Wicks,30094,SP,4,10.1,18,12,2,8,0,2,2,0,0.29999999999999893,0.07,10.69,1.98
Robby Snelling,31893,SP,1,5,5,3,4,2,0,1,0,0,0,0,5.4,1.8
Sammy Peralta,25589,SP,2,2.2,3,3,2,4,0,1,0,0,-2.4000000000000004,-1.2,12.27,2.273
Blake Snell,13543,SP,1,3,6,4,2,5,0,1,0,0,-4,-4,12,2.667
Justin Verlander,8700,SP,1,3.2,6,5,2,1,0,1,0,0,-9.399999999999999,-9.4,14.06,2.5
Shane Smith,31687,SP,3,7.4,12,10,9,11,0,2,0,0,-11.799999999999999,-3.93,12.16,2.838
Hunter Greene,22182,SP,1,3.1,7,8,4,7,0,1,0,0,-12.7,-12.7,23.23,3.548
Braxton Garrett,21844,SP,2,4.1,7,7,8,5,0,1,0,0,-13.7,-6.85,15.37,3.659
