player_name,playerid,fantasy_position,games,AB,H,2B,3B,HR,R,RBI,BB,K,SB,TB,fantasy_pts,avg_pts_per_game
Garrett Mitchell,27555,OF,99,314,84,23,3,8,48,49,44,116,9,137,171,1.73
Jacob Young,29931,OF,98,299,70,14,2,9,40,38,22,57,13,115,171,1.74
Mickey Moniak,19956,OF,73,252,70,13,3,17,37,47,14,68,1,140,171,2.34
Aaron Judge,15640,OF,59,214,53,10,0,17,43,38,42,72,5,114,170,2.88
Masyn Winn,27479,SS,103,370,90,14,2,4,41,45,38,83,8,120,169,1.64
Tristan Peters,30063,OF,106,297,79,21,3,6,40,38,22,60,5,124,169,1.59
Nasim Nuñez,25979,2B,103,313,75,4,3,1,46,31,38,74,39,88,168,1.63
Travis Bazzana,34967,2B,80,300,73,15,2,9,37,34,40,77,15,119,168,2.1
Jacob Wilson,33266,SS,71,288,79,12,1,7,33,34,12,34,4,114,163,2.3
Kyle Stowers,26151,1B,87,325,77,20,3,16,42,48,35,117,1,151,160,1.84
Oneil Cruz,21711,OF,64,250,66,10,0,14,45,44,30,98,21,118,160,2.5
Paul Goldschmidt,9218,1B,82,292,72,10,1,16,37,44,23,77,1,132,160,1.95
Daulton Varsho,19918,OF,98,330,81,19,2,7,39,26,29,69,9,125,159,1.62
Cam Smith,35108,OF,110,362,75,14,2,13,44,38,33,99,10,132,158,1.44
José Caballero,23401,SS,95,312,75,12,0,10,36,38,19,79,27,117,158,1.66
Cedric Mullins,17929,OF,95,320,65,7,2,13,39,34,29,76,16,115,157,1.65
Isaac Collins,25477,OF,101,318,77,18,3,6,39,34,43,85,6,119,156,1.54
Michael Massey,27684,2B,92,278,73,19,0,8,36,37,16,51,2,116,156,1.7
Ryan Jeffers,24618,C,50,171,50,9,1,10,31,36,27,32,1,91,154,3.08
Heriberto Hernández,24878,OF,82,263,61,12,1,16,30,43,27,78,8,123,153,1.87
Carson Kelly,13620,C,82,258,67,10,0,6,38,37,32,50,0,95,152,1.85
