game_date,game_pk,game_year,game_type,batter,pitcher,player_name,stand,p_throws,home_team,away_team,inning,inning_topbot,at_bat_number,pitch_number,balls,strikes,outs_when_up,pitch_type,pitch_name,release_speed,release_spin_rate,release_extension,effective_speed,plate_x,plate_z,zone,pfx_x,pfx_z,description,events,bb_type,hit_location,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,delta_run_exp,delta_home_win_exp,bat_speed,swing_length,attack_angle,swing_path_tilt,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,sz_top,sz_bot
2026-08-02,824323,2026,R,521692,607536,"Perez, Salvador",R,L,COL,KC,3,Top,23,4,2,1,1,FF,4-Seam Fastball,91.4,2344.0,6.7,93.0,0.8095386201026047,3.2482206100035382,3.0,0.88,0.99,foul,,,,77.2,20.0,201.0,,,,,,,,-0.079,0.008,73.1,7.0,-2.4018491496971337,29.06435830146375,2,1,3.312155512,1.671555118
2026-08-02,822783,2026,R,671056,453286,"Herrera, Iván",R,R,TOR,STL,4,Top,23,4,1,2,1,SL,Slider,84.7,2434.0,6.2,84.6,-0.0025028492225277,1.3162346282225443,13.0,0.29,0.26,hit_into_play,field_out,ground_ball,5.0,98.9,-6.0,13.0,101.04,161.33,0.261,0.235,0.0,0.0,0.0,-0.181,0.012,74.4,8.2,10.478597614717415,38.48879481446292,2,1,3.173490814,1.601574803
2026-08-02,824404,2026,R,683953,518876,"Bazzana, Travis",L,R,CLE,AZ,3,Bot,22,6,3,2,1,CH,Changeup,86.8,2110.0,6.4,86.9,-0.1429699222245928,0.7379152187271321,13.0,-1.12,-0.07,ball,walk,,,,,,,,,0.697819,0.7,0.0,0.0,0.264,0.015,,,,,2,1,3.178756562,1.604232283
2026-08-02,824404,2026,R,672695,668909,"Perdomo, Geraldo",L,R,CLE,AZ,4,Top,26,2,1,0,1,FF,4-Seam Fastball,98.1,2373.0,7.2,100.0,-0.0654591486415148,2.918290500598241,2.0,-1.0,1.14,hit_into_play,field_out,fly_ball,8.0,99.2,31.0,388.0,152.51,44.12,0.371,0.717,0.0,0.0,0.0,-0.305,0.021,62.8,7.1,20.87625046353749,32.627241186796695,2,1,3.31742126,1.674212598
2026-08-02,824483,2026,R,663886,656605,"Stephenson, Tyler",R,R,CIN,PIT,2,Bot,19,2,1,0,2,SL,Slider,86.3,2564.0,6.6,86.9,0.7138909186079012,1.6663927894264825,9.0,0.45,-0.26,called_strike,,,,,,,,,,,,,,-0.045,-0.002,,,,,2,1,3.359547244,1.695472441
2026-08-02,824971,2026,R,805808,695611,"McGonigle, Kevin",L,L,ATH,DET,3,Top,20,5,2,2,0,SI,Sinker,95.8,2147.0,6.2,96.1,1.0193108877864143,3.1121652677279896,12.0,0.98,1.05,ball,,,,,,,,,,,,,,0.113,-0.007,,,,,2,1,3.085728346,1.557283465
2026-08-02,823592,2026,R,805999,645261,"Ewing, A.J.",L,R,NYM,MIA,3,Bot,21,5,2,2,1,SI,Sinker,99.8,2452.0,6.0,99.1,0.5448342787005631,2.3257800923335927,6.0,-1.22,0.51,hit_into_play,force_out,ground_ball,6.0,89.2,3.0,75.0,115.32,153.71,0.417,0.399,0.0,0.0,0.0,-0.301,-0.037,65.2,5.3,-1.5941371733888428,41.052894577226645,2,1,3.136630577,1.582972441
2026-08-02,823107,2026,R,647304,671737,"Naylor, Josh",L,R,SEA,MIN,3,Bot,26,1,0,0,2,FS,Split-Finger,93.5,1848.0,6.4,93.7,-1.7104073577066596,3.1430871680501866,11.0,-1.31,0.58,ball,,,,,,,,,,,,,,0.038,0.001,,,,,2,1,3.110301837,1.569685039
2026-08-02,823996,2026,R,669003,700712,"Mitchell, Garrett",L,R,LAA,MIL,3,Top,20,3,0,2,2,FF,4-Seam Fastball,99.4,2228.0,6.1,99.2,0.0904166095667778,3.870903275434587,12.0,-0.73,1.19,ball,,,,,,,,,,,,,,0.013,-0.005,,,,,2,1,3.292847769,1.661811024
2026-08-02,824891,2026,R,621566,676917,"Olson, Matt",L,R,ATL,WSH,4,Bot,32,4,2,1,0,FC,Cutter,93.1,2318.0,6.3,93.8,0.5244134451672622,2.2115416282789866,9.0,0.04,0.89,hit_into_play,home_run,fly_ball,,99.7,29.0,401.0,217.83,71.77,0.531,0.98,2.0,0.0,3.0,1.064,0.127,72.6,8.1,13.623306817166126,40.45054559188495,2,1,3.37183399,1.701673228
2026-08-02,824323,2026,R,666160,607625,"Moniak, Mickey",L,R,COL,KC,3,Bot,25,1,0,0,0,CU,Curveball,73.3,2971.0,5.4,72.5,-0.2241455161047345,1.897385725271202,8.0,1.28,-0.96,hit_into_play,field_out,ground_ball,3.0,59.4,-42.0,2.0,136.35,190.46,0.187,0.168,0.0,0.0,0.0,-0.263,-0.025,78.4,8.7,28.266296968026293,34.90675749642928,2,1,3.254232283,1.642322835
2026-08-02,824891,2026,R,682928,702275,"Abrams, CJ",L,R,ATL,WSH,3,Top,19,2,1,0,2,FF,4-Seam Fastball,97.2,2306.0,6.6,98.3,1.0806000131676703,1.5762895157545211,14.0,-0.66,1.13,ball,,,,,,,,,,,,,,0.025,-0.003,,,,,2,1,3.222637795,1.626377953
