dt,WVHT,DPD,APD,MWD,WTMP
2025-05-08T09:26:00Z,1,4,3.8,163,24.6
2025-05-08T08:56:00Z,1,4,3.7,166,24.6
2025-05-08T08:26:00Z,1,4,3.7,167,24.7
2025-05-08T07:56:00Z,1,4,3.6,165,24.7
2025-05-08T07:26:00Z,1,4,3.6,158,24.7
2025-05-08T06:56:00Z,0.9,4,3.6,158,24.7
2025-05-08T06:26:00Z,0.8,4,3.6,160,24.8
2025-05-08T05:56:00Z,0.8,9,3.6,94,24.8
2025-05-08T05:26:00Z,0.8,8,3.8,89,24.8
2025-05-08T04:56:00Z,0.7,8,3.8,84,24.8
2025-05-08T04:26:00Z,0.7,8,3.7,90,24.9
2025-05-08T03:56:00Z,0.7,8,3.9,91,24.9
2025-05-08T03:26:00Z,0.6,9,4.2,89,24.9
2025-05-08T02:56:00Z,0.6,8,4.4,87,24.9
2025-05-08T02:26:00Z,0.6,8,4.2,90,24.9
2025-05-08T01:56:00Z,0.7,9,4.2,90,24.9
2025-05-08T01:26:00Z,0.7,8,4.1,91,24.9
2025-05-08T00:56:00Z,0.8,9,3.9,84,24.9
2025-05-08T00:26:00Z,0.9,9,3.8,90,24.9
2025-05-07T23:56:00Z,1,4,3.7,53,25
2025-05-07T22:56:00Z,0.9,4,3.5,120,25
2025-05-07T22:26:00Z,0.7,9,3.8,90,25.1
2025-05-07T21:56:00Z,0.7,9,4,90,25.1
2025-05-07T21:26:00Z,0.7,9,3.9,86,25.1
2025-05-07T20:56:00Z,0.7,9,3.8,91,25.1
2025-05-07T20:26:00Z,0.7,9,3.8,86,25.2
2025-05-07T19:56:00Z,0.7,9,3.8,91,25.2
2025-05-07T19:26:00Z,0.6,8,4.2,91,25.3
2025-05-07T18:56:00Z,0.6,9,4.3,91,25.4
2025-05-07T18:26:00Z,0.6,8,4.5,91,25.4
2025-05-07T17:56:00Z,0.6,8,4.5,91,25.4
2025-05-07T17:26:00Z,0.6,8,4.5,90,25.3
2025-05-07T16:56:00Z,0.6,9,5,91,25.3
2025-05-07T16:26:00Z,0.6,9,5.1,94,25.3
2025-05-07T15:56:00Z,0.6,9,5.1,91,25
2025-05-07T15:26:00Z,0.6,9,4.9,87,25
2025-05-07T14:56:00Z,0.5,8,4.6,87,24.9
2025-05-07T14:26:00Z,0.6,8,4.8,86,24.8
2025-05-07T13:56:00Z,0.6,10,4.8,80,24.7
2025-05-07T13:26:00Z,0.6,8,4.6,84,24.6
2025-05-07T12:56:00Z,0.6,7,4.7,93,24.5
2025-05-07T12:26:00Z,0.6,9,4.5,86,24.5
2025-05-07T11:56:00Z,0.6,9,4.5,84,24.5
2025-05-07T11:26:00Z,0.6,8,4.2,84,24.5
2025-05-07T10:56:00Z,0.6,8,4.3,86,24.5
2025-05-07T10:26:00Z,0.6,8,4.3,83,24.5
2025-05-07T09:56:00Z,0.6,7,4.2,98,24.5
2025-05-07T09:26:00Z,0.6,7,4.3,94,24.6
2025-05-07T08:56:00Z,0.6,8,4.2,86,24.6
2025-05-07T08:26:00Z,0.6,8,4.3,87,24.6
2025-05-07T07:56:00Z,0.7,7,4.2,96,24.6
2025-05-07T07:26:00Z,0.6,9,4.2,86,24.6
2025-05-07T06:56:00Z,0.7,8,4.2,87,24.5
2025-05-07T06:26:00Z,0.7,8,4,90,24.5
2025-05-07T05:56:00Z,0.7,8,4,80,24.6
2025-05-07T05:26:00Z,0.7,8,3.8,93,24.6
2025-05-07T04:56:00Z,0.7,7,3.9,91,24.6
2025-05-07T04:26:00Z,0.7,8,3.8,91,24.7
2025-05-07T03:56:00Z,0.7,8,4,87,24.7
2025-05-07T03:26:00Z,0.6,7,4.1,89,24.7
2025-05-07T02:56:00Z,0.6,7,4.5,97,24.8
2025-05-07T02:26:00Z,0.6,8,4.7,87,24.8
2025-05-07T01:56:00Z,0.6,7,4.7,91,24.8
2025-05-07T01:26:00Z,0.6,9,4.3,89,24.9
2025-05-07T00:56:00Z,0.6,8,4.5,86,24.9
2025-05-07T00:26:00Z,0.6,8,4.2,91,25
2025-05-06T23:56:00Z,0.6,8,4.5,90,25
2025-05-06T23:26:00Z,0.6,7,4.3,90,25.1
2025-05-06T22:56:00Z,0.6,8,4.5,87,25.2
2025-05-06T22:26:00Z,0.6,8,4.6,87,25.3
2025-05-06T21:56:00Z,0.6,8,5,86,25.5
2025-05-06T21:26:00Z,0.6,6,4.7,91,25.6
2025-05-06T20:56:00Z,0.6,6,4.9,98,25.8
2025-05-06T20:26:00Z,0.6,6,5,91,25.8
2025-05-06T19:56:00Z,0.6,6,5,96,25.7
2025-05-06T19:26:00Z,0.6,6,5.2,93,25.7
2025-05-06T18:56:00Z,0.6,6,5,96,25.6
2025-05-06T18:26:00Z,0.7,6,5.1,94,25.8
2025-05-06T17:56:00Z,0.7,7,5.1,93,25.8
2025-05-06T17:26:00Z,0.7,6,5,97,25.6
2025-05-06T16:56:00Z,0.6,7,4.9,93,25.4
2025-05-06T16:26:00Z,0.6,7,4.9,83,24.9
2025-05-06T15:56:00Z,0.6,7,5,94,25
2025-05-06T15:26:00Z,0.6,7,5,91,24.9
2025-05-06T14:56:00Z,0.6,8,5.1,86,24.8
2025-05-06T14:26:00Z,0.6,8,5.1,89,24.7
2025-05-06T13:56:00Z,0.6,7,5,93,24.5
2025-05-06T13:26:00Z,0.6,7,5,101,24.4
2025-05-06T12:56:00Z,0.6,7,5,93,24.4
2025-05-06T12:26:00Z,0.6,8,5.1,93,24.3
2025-05-06T11:56:00Z,0.6,7,4.5,91,24.3
2025-05-06T11:26:00Z,0.6,8,4.6,87,24.3
2025-05-06T10:56:00Z,0.6,6,4.2,98,24.3
2025-05-06T10:26:00Z,0.6,7,4.4,96,24.4
2025-05-06T09:56:00Z,0.6,8,4.1,93,24.4
2025-05-06T09:26:00Z,0.6,7,4.3,93,24.4
2025-05-06T08:56:00Z,0.6,7,4.2,94,24.4
2025-05-06T08:26:00Z,0.6,8,4.1,91,24.4
2025-05-06T07:56:00Z,0.6,7,4.2,96,24.4
2025-05-06T07:26:00Z,0.6,8,4,87,24.4
2025-05-06T06:56:00Z,0.7,7,3.9,97,24.4
2025-05-06T06:26:00Z,0.7,8,4,86,24.4
2025-05-06T05:56:00Z,0.7,7,3.9,94,24.4
2025-05-06T05:26:00Z,0.7,8,4,84,24.4
2025-05-06T04:56:00Z,0.7,7,3.9,94,24.4
2025-05-06T04:26:00Z,0.7,7,3.9,93,24.5
2025-05-06T03:56:00Z,0.7,8,3.8,89,24.5
2025-05-06T03:26:00Z,0.7,7,4,94,24.5
2025-05-06T02:56:00Z,0.7,7,4,98,24.5
2025-05-06T02:26:00Z,0.7,7,3.9,93,24.5
2025-05-06T01:56:00Z,0.7,8,3.8,97,24.5
2025-05-06T01:26:00Z,0.7,8,4,94,24.5
2025-05-06T00:56:00Z,0.7,7,4,100,24.5
2025-05-06T00:26:00Z,0.7,7,3.9,100,24.5
2025-05-05T23:56:00Z,0.7,7,3.9,96,24.5
2025-05-05T22:56:00Z,0.7,8,4,97,24.6
2025-05-05T22:26:00Z,0.7,7,4,93,24.6
2025-05-05T21:56:00Z,0.7,8,4,90,24.6
2025-05-05T21:26:00Z,0.7,7,4.2,96,24.6
2025-05-05T20:56:00Z,0.7,7,4.1,100,24.6
2025-05-05T20:26:00Z,0.7,7,4.1,98,24.6
2025-05-05T19:56:00Z,0.6,7,4,101,24.6
2025-05-05T19:26:00Z,0.6,7,4,100,24.6
2025-05-05T18:56:00Z,0.6,8,4,91,24.6
2025-05-05T18:26:00Z,0.6,7,4.3,100,24.6
2025-05-05T17:56:00Z,0.6,7,4.3,93,24.6
2025-05-05T17:26:00Z,0.6,8,4.5,91,24.6
2025-05-05T16:56:00Z,0.6,7,4.7,97,24.5
2025-05-05T16:26:00Z,0.6,7,5.1,98,24.5
2025-05-05T15:56:00Z,0.6,7,5,108,24.5
2025-05-05T15:26:00Z,0.6,7,4.6,98,24.5
2025-05-05T14:56:00Z,0.6,8,4.7,93,24.4
2025-05-05T14:26:00Z,0.6,8,4.7,91,24.3
2025-05-05T13:56:00Z,0.6,7,4.7,98,24.3
2025-05-05T13:26:00Z,0.6,7,4.4,101,24.2
2025-05-05T12:56:00Z,0.6,7,4.5,100,24.2
2025-05-05T12:26:00Z,0.6,7,4.4,98,24.2
2025-05-05T11:56:00Z,0.6,8,4.3,97,24.2
2025-05-05T11:26:00Z,0.6,7,4.1,93,24.2
2025-05-05T10:56:00Z,0.6,8,4,98,24.2
2025-05-05T10:26:00Z,0.6,5,3.9,113,24.2
2025-05-05T09:56:00Z,0.7,8,3.8,97,24.2
2025-05-05T09:26:00Z,0.7,7,3.8,89,24.2
2025-05-05T08:56:00Z,0.7,5,3.7,121,24.2
2025-05-05T08:26:00Z,0.7,8,3.7,94,24.2
